date,symbol,open,high,low,close,volume,vwap
2026-05-08 04:00:00+00:00,NVDA,212.76,217.53,212.67,214.96,4181656,215.47
2026-05-11 04:00:00+00:00,NVDA,213.78,222.04,213.66,219.19,4141456,219.7
2026-05-12 04:00:00+00:00,NVDA,218.19,223.48,214.7,220.62,4058854,218.53
2026-05-13 04:00:00+00:00,NVDA,224.7,227.53,221.36,225.65,3138586,225.56
2026-05-14 04:00:00+00:00,NVDA,229.46,236.26,229.14,235.51,4515441,234.04
2026-05-15 04:00:00+00:00,NVDA,229.49,231.23,224.04,225.04,3774303,227.31
2026-05-18 04:00:00+00:00,NVDA,229.13,229.7,218.14,222.09,4041240,221.85
2026-05-19 04:00:00+00:00,NVDA,219.46,224.21,217.72,220.39,4057698,221.15
2026-05-20 04:00:00+00:00,NVDA,222.92,225.84,220.24,223.22,4890857,223.51
2026-05-21 04:00:00+00:00,NVDA,222.05,227.09,217.69,219.21,6222899,220.28
2026-05-22 04:00:00+00:00,NVDA,220.72,220.72,214.65,215.09,4838641,216.73
2026-05-26 04:00:00+00:00,NVDA,216.39,217.92,211.75,214.53,4935639,214.24
2026-05-27 04:00:00+00:00,NVDA,213.87,213.9,208.55,212.33,3280775,210.99
2026-05-28 04:00:00+00:00,NVDA,211.01,215.25,211.01,214.02,4856752,213.18
2026-05-29 04:00:00+00:00,NVDA,214.3,217.55,210.9,210.91,5876800,214.93
2026-06-01 04:00:00+00:00,NVDA,215.56,224.6,215.5,224.16,6738901,221.21
2026-06-02 04:00:00+00:00,NVDA,226.94,232.01,221.1,222.56,7100206,225.57
2026-06-03 04:00:00+00:00,NVDA,221.49,222.52,214.29,214.61,4741903,216.11
2026-06-04 04:00:00+00:00,NVDA,213.775,221.59,210.97,218.64,5374242,216.918718
2026-06-05 04:00:00+00:00,NVDA,214.575,214.81,204.35,205.17,8060300,208.21049
2026-06-08 04:00:00+00:00,NVDA,209.645,210.36,206.02,208.66,3893430,208.345481
2026-06-09 04:00:00+00:00,NVDA,210.74,211.37,199.34,208.2,5608889,205.083338
2026-06-10 04:00:00+00:00,NVDA,204.305,207.185,199.93,200.41,4910869,203.306384
2026-06-11 04:00:00+00:00,NVDA,201.33,205.64,199.54,204.86,5648208,202.430373
2026-06-12 04:00:00+00:00,NVDA,204.5,207.06,203.46,205.17,3923011,205.019018
2026-06-15 04:00:00+00:00,NVDA,208.875,212.71,208.35,212.46,4594335,210.960447
2026-06-16 04:00:00+00:00,NVDA,211.115,211.365,207.31,207.37,4089180,209.106752
2026-06-17 04:00:00+00:00,NVDA,208.3,209.2,203.47,204.7,3697942,206.757215
2026-06-18 04:00:00+00:00,NVDA,207.4,211.385,206.5,210.38,4026083,209.3427
2026-06-22 04:00:00+00:00,NVDA,211.45,213.98,207.72,208.59,5739735,209.891538
2026-06-23 04:00:00+00:00,NVDA,202.05,203.75,200.0,200.07,3965353,201.746889
2026-06-24 04:00:00+00:00,NVDA,200.13,201.57,196.6,198.94,3243387,199.248639
2026-06-25 04:00:00+00:00,NVDA,200.07,200.79,192.17,195.89,3897568,195.402381
2026-06-26 04:00:00+00:00,NVDA,193.11,195.55,191.24,191.97,4202530,193.720361
2026-06-29 04:00:00+00:00,NVDA,193.785,196.16,189.82,194.92,3680689,193.918772
2026-06-30 04:00:00+00:00,NVDA,197.12,200.63,195.11,199.93,5774896,198.520756
2026-07-01 04:00:00+00:00,NVDA,196.05,199.85,193.46,197.54,6075573,197.366317
2026-07-02 04:00:00+00:00,NVDA,197.13,200.055,192.35,194.51,5880254,194.729001
2026-07-06 04:00:00+00:00,NVDA,194.37,197.53,194.0,195.59,4538784,196.272181
2026-07-07 04:00:00+00:00,NVDA,192.25,198.385,191.15,196.97,4767383,194.993402
2026-07-08 04:00:00+00:00,NVDA,195.23,205.13,195.23,204.07,5480997,200.011661
2026-07-09 04:00:00+00:00,NVDA,204.46,204.58,198.98,202.695,4867367,202.312089
2026-07-10 04:00:00+00:00,NVDA,202.11,210.99,202.07,210.99,7548841,208.757233
2026-07-13 04:00:00+00:00,NVDA,208.595,210.54,203.355,203.485,3818565,206.082163
2026-07-14 04:00:00+00:00,NVDA,208.25,212.55,203.84,211.79,3673407,208.998973
2026-07-15 04:00:00+00:00,NVDA,211.96,213.775,206.04,212.5,4218423,209.723341
2026-07-16 04:00:00+00:00,NVDA,210.26,211.03,205.85,207.46,4036020,207.217327
2026-07-17 04:00:00+00:00,NVDA,202.74,206.63,197.98,202.8,4558491,203.148774
2026-07-20 04:00:00+00:00,NVDA,205.605,207.71,202.29,203.33,3550006,205.055103
2026-07-21 04:00:00+00:00,NVDA,207.5,208.61,204.01,207.24,3037338,206.294809
2026-07-22 04:00:00+00:00,NVDA,205.875,208.21,205.01,207.78,525664,207.047364
2024-07-23 04:00:00+00:00,SPY,541.83,543.71,540.48,540.86,372009,542.23
2024-07-24 04:00:00+00:00,SPY,536.08,536.45,527.92,528.67,1116332,531.04
2024-07-25 04:00:00+00:00,SPY,528.78,534.76,525.0,525.92,1014214,529.04
2024-07-26 04:00:00+00:00,SPY,529.8,534.5,528.94,531.73,678034,531.22
2024-07-29 04:00:00+00:00,SPY,533.52,534.37,530.38,532.28,551816,532.64
2024-07-30 04:00:00+00:00,SPY,533.59,534.65,526.06,529.41,744722,529.79
2024-07-31 04:00:00+00:00,SPY,536.44,540.61,534.95,537.62,993224,537.8
2024-08-01 04:00:00+00:00,SPY,539.79,541.95,526.96,530.59,1145235,531.64
2024-08-02 04:00:00+00:00,SPY,523.34,524.48,516.35,520.57,1236956,519.39
2024-08-05 04:00:00+00:00,SPY,499.64,511.34,498.48,505.41,1484386,504.93
2024-08-06 04:00:00+00:00,SPY,507.52,517.39,505.99,509.97,774935,512.29
2024-08-07 04:00:00+00:00,SPY,516.29,519.25,506.06,506.62,769811,511.26
2024-08-08 04:00:00+00:00,SPY,511.84,518.98,509.8,518.32,869810,516.44
2024-08-09 04:00:00+00:00,SPY,517.54,522.07,516.32,520.57,463391,519.44
2024-08-12 04:00:00+00:00,SPY,521.94,523.27,518.74,520.93,512980,520.87
2024-08-13 04:00:00+00:00,SPY,524.15,529.72,523.85,529.43,859713,527.53
2024-08-14 04:00:00+00:00,SPY,530.37,532.31,527.67,531.18,627760,530.52
2024-08-15 04:00:00+00:00,SPY,537.02,540.52,536.2,540.16,1054828,538.89
2024-08-16 04:00:00+00:00,SPY,538.58,542.16,538.58,541.38,497168,540.62
2024-08-19 04:00:00+00:00,SPY,541.9,546.59,541.09,546.53,632519,544.38
2024-08-20 04:00:00+00:00,SPY,546.2,547.82,544.41,545.71,563025,545.87
2024-08-21 04:00:00+00:00,SPY,546.8,549.08,545.11,547.65,638108,547.17
2024-08-22 04:00:00+00:00,SPY,549.53,550.09,542.14,543.37,847928,544.88
2024-08-23 04:00:00+00:00,SPY,546.62,550.04,544.45,549.07,698159,547.8
2024-08-26 04:00:00+00:00,SPY,550.38,550.83,546.11,547.79,712177,548.05
2024-08-27 04:00:00+00:00,SPY,546.5,549.02,545.39,548.55,474357,547.91
2024-08-28 04:00:00+00:00,SPY,548.19,548.61,542.23,545.41,626457,545.48
2024-08-29 04:00:00+00:00,SPY,547.29,550.59,544.3,545.37,673660,547.34
2024-08-30 04:00:00+00:00,SPY,547.65,551.12,544.28,550.51,944527,547.69
2024-09-03 04:00:00+00:00,SPY,547.49,547.76,536.81,539.37,812721,541.5
2024-09-04 04:00:00+00:00,SPY,537.32,541.58,536.74,538.07,857093,538.8
2024-09-05 04:00:00+00:00,SPY,538.23,540.92,534.45,536.71,681939,537.23
2024-09-06 04:00:00+00:00,SPY,537.26,538.79,526.97,527.94,1096849,530.07
2024-09-09 04:00:00+00:00,SPY,532.06,535.02,530.14,533.78,664187,532.84
2024-09-10 04:00:00+00:00,SPY,535.66,536.43,530.88,536.05,819534,534.51
2024-09-11 04:00:00+00:00,SPY,535.98,542.49,527.48,541.39,1231712,534.82
2024-09-12 04:00:00+00:00,SPY,542.22,546.4,540.0,546.11,940507,544.23
2024-09-13 04:00:00+00:00,SPY,546.74,549.97,546.5,548.87,756298,548.56
2024-09-16 04:00:00+00:00,SPY,548.77,550.04,546.97,549.83,488997,548.89
2024-09-17 04:00:00+00:00,SPY,552.02,553.37,547.8,550.1,756844,550.61
2024-09-18 04:00:00+00:00,SPY,550.65,555.45,547.88,548.38,654172,550.67
2024-09-19 04:00:00+00:00,SPY,557.81,559.56,554.96,557.76,1040119,557.71
2024-09-20 04:00:00+00:00,SPY,556.4,557.8,553.83,556.57,1151421,556.02
2024-09-23 04:00:00+00:00,SPY,557.79,558.78,556.64,558.11,504547,557.84
2024-09-24 04:00:00+00:00,SPY,558.97,559.81,556.19,559.72,698992,558.74
2024-09-25 04:00:00+00:00,SPY,559.62,560.35,557.51,558.49,558329,558.74
2024-09-26 04:00:00+00:00,SPY,562.99,563.1,558.44,560.63,643492,560.78
2024-09-27 04:00:00+00:00,SPY,561.93,562.62,559.08,559.87,633680,560.72
2024-09-30 04:00:00+00:00,SPY,559.0,562.79,556.77,562.46,816468,560.44
2024-10-01 04:00:00+00:00,SPY,561.87,561.87,554.61,557.14,1049644,556.97
2024-10-02 04:00:00+00:00,SPY,556.26,558.38,553.87,557.35,397194,556.8
2024-10-03 04:00:00+00:00,SPY,555.93,558.28,554.08,556.31,751132,555.98
2024-10-04 04:00:00+00:00,SPY,560.8,561.79,556.74,561.38,677404,559.43
2024-10-07 04:00:00+00:00,SPY,559.74,560.37,555.26,556.34,622312,557.82
2024-10-08 04:00:00+00:00,SPY,558.9,562.2,558.06,561.63,654089,560.33
2024-10-09 04:00:00+00:00,SPY,561.6,566.04,561.05,565.43,564712,564.3
2024-10-10 04:00:00+00:00,SPY,564.11,565.89,562.92,564.58,623045,564.3
