ticker,name,sector,cap_tier,avg_volume,exchange
NET,"Cloudflare, Inc.",Technology,Large-Cap,4416100,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Large-Cap,1451314,NYQ
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Large-Cap,14756806,NYQ
SNPS,"Synopsys, Inc.",Technology,Large-Cap,1918904,NMS
KKR,KKR & Co. Inc.,Financial Services,Large-Cap,4834693,NYQ
LYG,Lloyds Banking Group Plc,Financial Services,Large-Cap,22131200,NYQ
SHW,Sherwin-Williams Company (The),Basic Materials,Large-Cap,2257338,NYQ
SPG,"Simon Property Group, Inc.",Real Estate,Large-Cap,1833641,NYQ
CMCSA,Comcast Corporation,Communication Services,Large-Cap,34845646,NMS
CEG,Constellation Energy Corporatio,Utilities,Large-Cap,3639566,NMS
ADBE,Adobe Inc.,Technology,Large-Cap,6372659,NMS
MMM,3M Company,Industrials,Large-Cap,3884417,NYQ
CME,CME Group Inc.,Financial Services,Large-Cap,3261422,NMS
MRSH,Marsh,Financial Services,Large-Cap,2823953,NYQ
DASH,"DoorDash, Inc.",Consumer Cyclical,Large-Cap,4868446,NMS
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Large-Cap,2816962,NYQ
MCO,Moody's Corporation,Financial Services,Large-Cap,1064283,NYQ
BE,Bloom Energy Corporation,Industrials,Large-Cap,11800267,NYQ
CNQ,Canadian Natural Resources Limi,Energy,Large-Cap,9633790,NYQ
ACN,Accenture plc,Technology,Large-Cap,7740495,NYQ
VLO,Valero Energy Corporation,Energy,Large-Cap,3131414,NYQ
NGG,"National Grid Transco, PLC Nati",Utilities,Large-Cap,1283956,NYQ
EPD,Enterprise Products Partners L.,Energy,Large-Cap,3946270,NYQ
ECL,Ecolab Inc.,Basic Materials,Large-Cap,1664893,NYQ
EMR,Emerson Electric Company,Industrials,Large-Cap,2897358,NYQ
EQNR,Equinor ASA,Energy,Large-Cap,4430727,NYQ
AEM,Agnico Eagle Mines Limited,Basic Materials,Large-Cap,2505375,NYQ
ITW,Illinois Tool Works Inc.,Industrials,Large-Cap,1390927,NYQ
MPC,Marathon Petroleum Corporation,Energy,Large-Cap,2357256,NYQ
AMT,American Tower Corporation (REI,Real Estate,Large-Cap,3239959,NYQ
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Large-Cap,1428208,NYQ
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Large-Cap,6756425,NMS
CP,Canadian Pacific Kansas City Li,Industrials,Large-Cap,2849661,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Large-Cap,8492809,NMS
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Large-Cap,1884037,NYQ
FDX,FedEx Corporation,Industrials,Large-Cap,2123520,NYQ
CVNA,Carvana Co.,Consumer Cyclical,Large-Cap,12033758,NYQ
MDLN,Medline Inc.,Healthcare,Large-Cap,9622311,NMS
ALAB,"Astera Labs, Inc.",Technology,Large-Cap,6282409,NMS
CL,Colgate-Palmolive Company,Consumer Defensive,Large-Cap,5388112,NYQ
AEP,American Electric Power Company,Utilities,Large-Cap,4570288,NMS
AON,Aon plc,Financial Services,Large-Cap,1586988,NYQ
CI,The Cigna Group,Healthcare,Large-Cap,1627004,NYQ
INTU,Intuit Inc.,Technology,Large-Cap,5022762,NMS
CNI,Canadian National Railway Compa,Industrials,Large-Cap,1484406,NYQ
BAM,Brookfield Asset Management Inc,Financial Services,Large-Cap,3182980,NYQ
COHR,Coherent Corp.,Technology,Large-Cap,6124511,NYQ
NOK,Nokia Corporation Sponsored,Technology,Large-Cap,113091190,NYQ
ICE,Intercontinental Exchange Inc.,Financial Services,Large-Cap,4040638,NYQ
NSC,Norfolk Southern Corporation,Industrials,Large-Cap,1205390,NYQ
NWG,NatWest Group plc,Financial Services,Large-Cap,4350682,NYQ
TRV,"The Travelers Companies, Inc.",Financial Services,Large-Cap,1652070,NYQ
KMI,"Kinder Morgan, Inc.",Energy,Large-Cap,11018617,NYQ
NXPI,NXP Semiconductors N.V.,Technology,Large-Cap,4056301,NMS
CRH,CRH PLC,Basic Materials,Large-Cap,4883569,NYQ
HON,Honeywell International Inc.,Industrials,Large-Cap,4622104,NMS
PSX,Phillips 66,Energy,Large-Cap,2637983,NYQ
CTAS,Cintas Corporation,Industrials,Large-Cap,2101770,NMS
MSI,"Motorola Solutions, Inc.",Technology,Large-Cap,1110524,NYQ
EOG,"EOG Resources, Inc.",Energy,Large-Cap,3921895,NYQ
TRP,TC Energy Corporation,Energy,Large-Cap,2478738,NYQ
GM,General Motors Company,Consumer Cyclical,Large-Cap,7658343,NYQ
APO,"Apollo Global Management, Inc. ",Financial Services,Large-Cap,4182377,NYQ
ROST,"Ross Stores, Inc.",Consumer Cyclical,Large-Cap,3014680,NMS
APD,"Air Products and Chemicals, Inc",Basic Materials,Large-Cap,1271017,NYQ
MFC,Manulife Financial Corporation,Financial Services,Large-Cap,2160940,NYQ
SLB,SLB Limited,Energy,Large-Cap,14737561,NYQ
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Large-Cap,20111367,NMS
TER,"Teradyne, Inc.",Technology,Large-Cap,4315198,NMS
RSG,"Republic Services, Inc.",Industrials,Large-Cap,1785101,NYQ
ET,Energy Transfer LP,Energy,Large-Cap,13054143,NYQ
CIEN,Ciena Corporation,Technology,Large-Cap,2879229,NYQ
NU,Nu Holdings Ltd.,Financial Services,Large-Cap,51693569,NYQ
DB,Deutsche Bank AG,Financial Services,Large-Cap,3000985,NYQ
UMC,United Microelectronics Corpora,Technology,Large-Cap,16508161,NYQ
DLR,"Digital Realty Trust, Inc.",Real Estate,Large-Cap,2621601,NYQ
BSX,Boston Scientific Corporation,Healthcare,Large-Cap,20613203,NYQ
PCAR,PACCAR Inc.,Industrials,Large-Cap,3020033,NMS
NKE,"Nike, Inc.",Consumer Cyclical,Large-Cap,24534754,NYQ
VALE,VALE S.A.,Basic Materials,Large-Cap,24009211,NYQ
TFC,Truist Financial Corporation,Financial Services,Large-Cap,9153050,NYQ
SU,Suncor Energy  Inc.,Energy,Large-Cap,4163830,NYQ
STM,STMicroelectronics N.V.,Technology,Large-Cap,12476885,NYQ
ALL,Allstate Corporation (The),Financial Services,Large-Cap,1661461,NYQ
SE,Sea Limited,Consumer Cyclical,Large-Cap,4133203,NYQ
RKLB,Rocket Lab Corporation,Industrials,Large-Cap,27656583,NMS
LITE,Lumentum Holdings Inc.,Technology,Large-Cap,5933751,NMS
AJG,Arthur J. Gallagher & Co.,Financial Services,Large-Cap,1894982,NYQ
B,Barrick Mining Corporation,Basic Materials,Large-Cap,12106461,NYQ
DAL,"Delta Air Lines, Inc.",Industrials,Large-Cap,8502425,NYQ
AFL,AFLAC Incorporated,Financial Services,Large-Cap,2490924,NYQ
CARR,Carrier Global Corporation,Industrials,Large-Cap,6553567,NYQ
SRE,DBA Sempra,Utilities,Large-Cap,3753816,NYQ
D,"Dominion Energy, Inc.",Utilities,Large-Cap,6900482,NYQ
TGT,Target Corporation,Consumer Defensive,Large-Cap,5137000,NYQ
TEL,TE Connectivity plc,Technology,Large-Cap,2679912,NYQ
HPE,Hewlett Packard Enterprise Comp,Technology,Large-Cap,25228183,NYQ
NBIS,Nebius Group N.V.,Communication Services,Large-Cap,17815093,NMS
O,Realty Income Corporation,Real Estate,Large-Cap,5949987,NYQ
KEYS,Keysight Technologies Inc.,Technology,Large-Cap,1526937,NYQ
MPLX,MPLX LP,Energy,Large-Cap,1954729,NYQ
FLEX,Flex Ltd.,Technology,Large-Cap,6955733,NMS
MET,"MetLife, Inc.",Financial Services,Large-Cap,3587225,NYQ
COR,"Cencora, Inc.",Healthcare,Large-Cap,1767869,NYQ
CTVA,"Corteva, Inc.",Basic Materials,Large-Cap,3861201,NYQ
CAH,"Cardinal Health, Inc.",Healthcare,Large-Cap,2195354,NYQ
TRGP,"Targa Resources, Inc.",Energy,Large-Cap,1255487,NYQ
RELX,RELX PLC PLC,Industrials,Large-Cap,2649546,NYQ
FAST,Fastenal Company,Industrials,Large-Cap,7204306,NMS
AME,"AMETEK, Inc.",Industrials,Large-Cap,1236046,NYQ
